company_name,Assignments,email_invalid,phone_invalid,num_matches,num_jumps,max_change,registered_name,is_registered,trustpilot_score,score_category,is_reviewed
medical and rescue - london and lhr,1,True,False,3.0,0.0,0.0,medical and rescue ltd,True,,No Score,False
https://private-testing-providers.london.cloudapps.digital/refresh-cache?id=750482,1,True,False,2.0,0.0,0.0,,False,,No Score,False
rainbow labs,1,True,False,1.0,3.0,17.24137931034483,,False,3.4,3-4,True
mdna life sciences (uk) ltd,1,False,False,2.0,1.0,100.0,,False,,No Score,False
arrival test centre,1,True,True,1.0,1.0,775.0,,False,2.9,2-3,True
claret diagnostics ltd,1,True,False,4.0,2.0,19.228817858954848,,False,,No Score,False
arrival diagnostics,1,True,False,1.0,0.0,0.0,,False,2.9,2-3,True
123 clinics,0,True,False,2.0,5.0,1096.7871485943776,,False,,No Score,False
nutraceuticals laboratory london limited,1,True,False,1.0,1.0,80.95238095238095,,False,2.5,2-3,True
i-gen testing limited,1,True,False,2.0,4.0,70.40816326530613,,False,,No Score,False
harper medical ltd,1,False,False,2.0,0.0,0.0,harper medical technology limited,True,,No Score,False
physiofunction,1,True,False,1.0,0.0,0.0,physiofunction (supplies) ltd,True,3.2,3-4,True
concierge medical practice,1,False,True,3.0,0.0,0.0,,False,3.4,3-4,True
acorn occupational health ltd,1,True,True,2.0,2.0,8.235294117647058,,False,,No Score,False
thechemistlive.co.uk,1,False,False,1.0,0.0,0.0,,False,,No Score,False
caliber medical services,1,True,False,2.0,0.0,0.0,,False,,No Score,False
the bridge clinic,1,True,False,1.0,1.0,33.33333333333333,,False,,No Score,False
quest medical,1,False,False,2.0,0.0,0.0,quest medical development ltd,True,,No Score,False
004medical testing,0,True,False,7.0,6.0,209.375,,False,3.4,3-4,True
1 st class testing,1,False,False,4.0,2.0,88.18181818181819,,False,2.1,2-3,True
medi-swift,1,True,False,1.0,0.0,0.0,mediswift international health services uk limited,True,,No Score,False
corona testing,1,True,False,2.0,1.0,95.26627218934912,,False,1.8,1-2,True
easy testing,1,False,False,2.0,1.0,12.436548223350254,cfstestnondesg testing,True,,No Score,False
solihull health check clinic,1,True,False,1.0,0.0,0.0,,False,4.4,4-5,True
knightsbridge pharmacy,1,False,False,1.0,0.0,0.0,,False,,No Score,False
001 covid test,0,True,False,2.0,8.0,166.66666666666669,,False,2.0,1-2,True
south west london covid-19 centre,1,False,False,1.0,0.0,0.0,,False,3.6,3-4,True
medic testing,1,True,False,2.0,3.0,33.33333333333333,4 medical testing limited,True,,No Score,False
good egg medical limited,1,True,False,3.0,3.0,44.11764705882353,,False,3.2,3-4,True
your health first ltd,1,True,False,2.0,3.0,59.32203389830508,yourhealthfirst clinic ltd,True,,No Score,False
tamsel (uk) ltd,1,False,False,1.0,0.0,0.0,,False,,No Score,False
.medical covid test,1,False,False,4.0,3.0,275.0,,False,,No Score,False
eurofins forensic services ltd,1,True,False,3.0,2.0,233.67037411526783,,False,,No Score,False
london medical laboratory,1,True,False,3.0,2.0,35.50295857988166,mobile medical laboratory london limited,True,,No Score,False
tac healthcare group,1,True,False,1.0,0.0,0.0,,False,,No Score,False
bristol travel clinic,1,True,False,1.0,0.0,0.0,,False,4.4,4-5,True
pharmasuite,1,True,False,1.0,0.0,0.0,,False,,No Score,False
blindspot global ltd,1,True,False,2.0,3.0,72.22222222222221,blindspot ltd,True,4.0,3-4,True
global health travel clinic - longcross surrey,1,True,False,2.0,0.0,0.0,global health travel clinic ltd,True,,No Score,False
vsm pharmacy,1,False,False,1.0,1.0,20.100502512562816,,False,,No Score,False
0ptimized body & mind,0,False,False,3.0,8.0,183.3333333333333,,False,3.3,3-4,True
1 alpha express testing,1,False,False,4.0,1.0,72.41189047520518,,False,3.6,3-4,True
private gp teddington,1,False,False,3.0,0.0,0.0,,False,,No Score,False
the travel health clinic,1,False,False,7.0,2.0,14.552530898907373,the travel and health clinic llp,True,,No Score,False
abg covic ltd,1,True,False,1.0,1.0,16.901408450704224,,False,3.2,3-4,True
gpdq ltd,1,False,False,2.0,0.0,0.0,,False,4.3,4-5,True
church pharmacy,1,True,False,2.0,0.0,0.0,,False,4.5,4-5,True
dante labs,1,False,False,1.0,1.0,27.58620689655172,,False,,No Score,False
reviv uk,1,True,False,1.0,0.0,0.0,reviv uk ltd,True,,No Score,False
duality health,1,False,False,1.0,0.0,0.0,applied duality ltd,True,,No Score,False
pureflo health ltd,1,True,False,1.0,0.0,0.0,,False,,No Score,False
